# Hole coordinates for file arena_picture\2022/BKGDimage-20221011.png
# Cropped file = arena_picture\2022/BKGDimage-20221011_cropped.png
# Hole visualizaton = arena_picture\2022/BKGDimage-20221011_holes.png
#        - cropped image extent (cm) = [-105.07659645232815, 89.01652993348114, -69.17229249011861, 76.89569169960474]
#        - arena center (cm) = [-0.7515410199556527, 2.035849802371544]
#        - arena radius (cm) = 60.75788104
#       indices ::: (a) below -4 == targets;    (b) [-4,...,-1] == entrances;    (c) 1... == holes
# hole index,x (cm),y (cm)
-12,-13.18563193,39.46577075
-11,-19.25104213,23.03312253
-10,22.29701774,18.77280632
-9,38.06708426,12.68664032
-8,-39.26689579,-11.96233202
-7,-23.49682927,-18.04849802
-6,17.74796009,-22.30881423
-5,11.68254989,-37.82853755
-4,41.40305987,44.63901186
-3,-44.72576497,42.50885375
-2,42.31287140,-39.95869565
-1,-41.08651885,-42.39316206
1,-4.69405765,56.81134387
2,7.74003326,56.20272727
3,-19.25104213,52.55102767
4,25.63299335,51.02948617
5,-9.84965632,49.50794466
6,-30.77532151,48.29071146
7,4.70732816,46.46486166
8,34.12456763,46.46486166
9,16.53487805,44.94332016
10,-21.67720621,43.42177866
11,-32.29167406,41.29162055
12,-2.57116408,40.98731225
13,-12.88236142,39.46577075
14,30.78859202,37.33561265
15,18.05123060,36.42268775
16,-46.54538803,35.20545455
17,-26.22626386,34.90114625
18,4.70732816,34.90114625
19,39.88670732,32.16237154
20,-37.75054324,31.85806324
21,-14.70198448,30.64083004
22,46.86192905,30.64083004
23,-4.08751663,29.42359684
24,-50.79117517,26.68482213
25,33.82129712,25.77189723
26,18.65777162,23.94604743
27,-18.94777162,23.33743083
28,8.34657428,22.42450593
29,42.31287140,21.51158103
30,-24.10337029,19.68573123
31,51.10771619,19.07711462
32,-36.53746120,18.77280632
33,22.29701774,18.77280632
34,-45.02903548,17.25126482
35,1.67462306,17.25126482
36,-8.03003326,16.64264822
37,29.57550998,14.20818182
38,38.37035477,12.99094862
39,47.77174058,9.94786561
40,-22.89028825,9.33924901
41,-55.94677384,8.42632411
42,-0.44827051,7.81770751
43,15.92833703,7.81770751
44,-46.24211752,5.68754941
45,-35.02110865,5.68754941
46,55.05023282,4.77462451
47,28.36242794,4.16600791
48,-17.73468958,2.64446640
49,39.58343681,2.64446640
50,-8.03003326,0.21000000
51,6.83022173,0.21000000
52,-40.78324834,-1.92015810
53,16.53487805,-1.92015810
54,-29.25896896,-3.44169960
55,-56.55331486,-3.74600791
56,45.04230599,-4.65893281
57,33.82129712,-4.65893281
58,-16.82487805,-7.09339921
59,-0.44827051,-7.09339921
60,54.44369180,-7.39770751
61,21.69047672,-8.61494071
62,-48.97155211,-8.91924901
63,-39.26689579,-11.96233202
64,-30.77532151,-13.78818182
65,6.83022173,-16.22264822
66,43.52595344,-15.91833992
67,-2.87443459,-16.83126482
68,35.03437916,-17.74418972
69,-52.00425721,-18.04849802
70,-23.19355876,-18.04849802
71,22.90355876,-18.65711462
72,-43.20941242,-20.48296443
73,-9.24311530,-21.70019763
74,17.74796009,-22.30881423
75,-19.55431264,-23.22173913
76,-34.71783814,-25.04758893
77,49.28809313,-24.74328063
78,3.19097561,-28.39498024
79,-47.45519956,-29.61221344
80,13.50217295,-29.30790514
81,36.24746120,-30.22083004
82,-40.47997783,-31.13375494
83,24.72318182,-33.26391304
84,44.73903548,-33.26391304
85,-5.60386918,-33.87252964
86,-18.64450111,-35.08976285
87,-31.38186253,-36.30699605
88,11.98582040,-37.82853755
89,1.67462306,-39.35007905
90,30.78859202,-39.35007905
91,20.47739468,-41.78454545
92,-16.82487805,-43.30608696
93,-34.41456763,-44.82762846
94,-5.60386918,-44.82762846
95,29.27223947,-46.04486166
96,8.95311530,-47.26209486
97,-25.92299335,-49.08794466
98,18.05123060,-50.30517787
99,-8.03003326,-53.95687747
100,4.10078714,-54.56549407
