# Hole coordinates for file arena_picture\2022/BKGDimage-220812.png
# Cropped file = arena_picture\2022/BKGDimage-220812_cropped.png
# Hole visualizaton = arena_picture\2022/BKGDimage-220812_holes.png
#        - cropped image extent (cm) = [-102.8197797797798, 91.28792792792794, -70.57941071428571, 75.46916071428572]
#        - arena center (cm) = [1.5131131131131212, 0.6192678571428729]
#        - arena radius (cm) = 60.45233447
#       indices ::: (a) below -4 == targets;    (b) [-4,...,-1] == entrances;    (c) 1... == holes
# hole index,x (cm),y (cm)
-12,-11.52849850,38.65275000
-11,-17.89765766,23.13508929
-10,23.35023023,18.57107143
-9,39.12148148,12.18144643
-8,-37.91501502,-11.24717857
-7,-22.44705706,-17.63680357
-6,18.19424424,-22.80935714
-5,11.82508509,-38.63128571
-4,43.36758759,42.91250000
-3,-41.55453453,41.99969643
-2,-41.55453453,-41.06542857
-1,43.06429429,-42.58676786
1,-3.03628629,56.30028571
2,9.39873874,55.69175000
3,-17.29107107,51.73626786
4,27.29304304,50.51919643
5,-8.19227227,48.69358929
6,-28.51292292,47.47651786
7,6.06251251,45.95517857
8,35.78525526,45.95517857
9,17.58765766,44.43383929
10,-19.71741742,43.21676786
11,-30.33268268,40.78262500
12,-1.21652653,40.47835714
13,-11.22520521,38.95701786
14,32.14573574,37.13141071
15,19.10412412,35.91433929
16,-43.98088088,35.00153571
17,5.75921922,34.69726786
18,-24.26681682,34.69726786
19,-35.48866867,31.65458929
20,41.54782783,31.95885714
21,-13.04496496,30.43751786
22,48.82686687,30.13325000
23,-3.03628629,28.91617857
24,-48.22698699,26.48203571
25,35.17866867,25.56923214
26,19.71071071,23.74362500
27,-17.59436436,23.13508929
28,9.39873874,22.52655357
29,43.97417417,21.00521429
30,-22.75035035,19.48387500
31,-34.57878879,18.87533929
32,23.35023023,18.57107143
33,53.07297297,18.57107143
34,-42.76770771,17.35400000
35,2.72628629,17.35400000
36,-6.97909910,16.74546429
37,30.62926927,14.00705357
38,39.42477477,12.18144643
39,-21.53717718,9.44303571
40,49.43345345,9.13876786
41,-53.68626627,8.83450000
42,0.29993994,7.92169643
43,16.67777778,7.61742857
44,-44.58746747,6.09608929
45,-33.66890891,6.09608929
46,29.11280280,3.66194643
47,57.31907908,3.96621429
48,-16.68448448,2.74914286
49,40.94124124,2.14060714
50,-7.28239239,0.61926786
51,7.57897898,0.31500000
52,-39.12818819,-1.20633929
53,17.28436436,-2.11914286
54,-28.20962963,-2.72767857
55,-54.59614615,-3.33621429
56,34.87537538,-5.46608929
57,46.40052052,-5.46608929
58,-16.07789790,-6.68316071
59,-0.00335335,-6.98742857
60,-47.31710711,-8.20450000
61,56.40919920,-8.50876786
62,22.13705706,-8.81303571
63,-37.91501502,-11.24717857
64,-29.72609610,-13.07278571
65,7.27568569,-15.81119643
66,-2.42969970,-16.41973214
67,-50.65333333,-17.33253571
68,44.88405405,-17.02826786
69,-22.75035035,-17.63680357
70,36.08854855,-18.54960714
71,23.65352352,-19.15814286
72,-42.16112112,-19.76667857
73,-9.10215215,-21.59228571
74,-19.11083083,-22.80935714
75,18.19424424,-22.80935714
76,-33.66890891,-24.33069643
77,50.94991992,-26.46057143
78,3.33287287,-28.28617857
79,-46.40722723,-28.59044643
80,13.64484484,-29.80751786
81,-39.73477477,-30.41605357
82,36.99842843,-31.63312500
83,-5.46263263,-34.06726786
84,25.47328328,-34.37153571
85,-18.20095095,-34.67580357
86,46.40052052,-34.98007143
87,-30.93926927,-35.89287500
88,12.12837838,-38.63128571
89,1.81640641,-39.84835714
90,31.84244244,-40.76116071
91,20.92388388,-42.89103571
92,-16.68448448,-43.19530357
93,-33.97220220,-44.41237500
94,-5.46263263,-45.02091071
95,30.02268268,-48.06358929
96,9.09544545,-48.36785714
97,-25.78328328,-49.28066071
98,18.49753754,-51.71480357
99,-8.19227227,-54.75748214
100,3.93945946,-55.67028571
