# Hole coordinates for file arena_picture\dec-2019/BKGDimage-localCues.png
# Cropped file = arena_picture\dec-2019/BKGDimage-localCues_cropped.png
# Hole visualizaton = arena_picture\dec-2019/BKGDimage-localCues_holes.png
#        - cropped image extent (cm) = [-103.78538641686184, 90.43288056206092, -72.42141666666669, 73.63858333333333]
#        - arena center (cm) = [0.9103981264637184, -1.217166666666671]
#        - arena radius (cm) = 60.16801317
# hole index,x (cm),y (cm)
-4,41.27138173,42.29654167
-3,-43.09217799,38.94933333
-2,43.69911007,-41.99225000
-1,-39.45058548,-44.42658333
1,-5.46238876,54.77250000
2,6.67625293,54.77250000
3,24.58074941,50.20812500
4,-19.72529274,50.20812500
5,-10.62131148,47.16520833
6,33.38126464,46.25233333
7,-30.95353630,45.33945833
8,3.94505855,45.33945833
9,15.47676815,44.12229167
10,-21.84955504,41.38366667
11,-3.03466042,39.25362500
12,-32.47086651,38.34075000
13,-13.35250585,37.42787500
14,30.34660422,37.12358333
15,17.29756440,35.60212500
16,4.24852459,34.08066667
17,-26.09807963,32.55920833
18,39.75405152,32.25491667
19,-45.82337237,31.95062500
20,47.03723653,30.73345833
21,-37.32632319,29.21200000
22,-14.86983607,28.90770833
23,-4.55199063,27.99483333
24,33.68473068,25.86479167
25,-50.07189696,23.43045833
26,8.19358314,21.90900000
27,42.48524590,21.60470833
28,51.58922717,19.47466667
29,-35.80899297,16.43175000
30,1.51733021,16.43175000
31,-7.89011710,15.21458333
32,-44.00257611,14.60600000
33,30.04313817,13.99741667
34,38.54018735,12.78025000
35,48.55456674,10.04162500
36,-22.45648712,7.60729167
37,16.08370023,6.99870833
38,-0.30346604,6.69441667
39,-54.32042155,5.47725000
40,56.44468384,4.86866667
41,28.82927400,3.65150000
42,-34.29166276,3.34720833
43,-45.21644028,3.04291667
44,40.36098361,2.43433333
45,-17.29756440,0.91287500
46,7.28318501,-0.60858333
47,-7.58665105,-0.91287500
48,17.29756440,-2.73862500
49,-39.75405152,-3.95579167
50,46.43030445,-4.86866667
51,34.89859485,-5.17295833
52,-28.52580796,-5.17295833
53,-54.62388759,-6.69441667
54,56.14121780,-7.30300000
55,0.00000000,-8.21587500
56,-16.08370023,-8.82445833
57,22.45648712,-9.12875000
58,-47.34070258,-11.56308333
59,-37.93325527,-14.30170833
60,-29.43620609,-15.51887500
61,45.21644028,-16.43175000
62,7.89011710,-17.04033333
63,-1.82079625,-18.25750000
64,36.41592506,-18.25750000
65,-22.45648712,-19.77895833
66,24.27728337,-19.47466667
67,-50.07189696,-20.69183333
68,-41.57484778,-22.82187500
69,-8.19358314,-23.43045833
70,19.11836066,-23.43045833
71,-18.51142857,-24.95191667
72,51.28576112,-25.25620833
73,-33.07779859,-27.38625000
74,4.55199063,-29.82058333
75,14.86983607,-30.73345833
76,38.23672131,-31.34204167
77,-45.51990632,-31.95062500
78,-38.84365340,-33.47208333
79,47.03723653,-34.08066667
80,26.70501171,-34.68925000
81,-16.99409836,-37.12358333
82,-29.73967213,-38.34075000
83,33.07779859,-40.47079167
84,22.45648712,-43.20941667
85,-15.17330211,-45.33945833
86,-3.64159251,-46.55662500
87,-32.47086651,-47.16520833
88,31.56046838,-47.46950000
89,10.92477752,-49.29525000
90,-23.97381733,-51.42529167
91,20.33222482,-52.03387500
92,-6.06932084,-55.98966667
93,6.06932084,-56.59825000
