# Hole coordinates for file arena_picture\jun-jul-aug-nov-2021/BDGDimage_arenaB_visualCues.png
# Cropped file = arena_picture\jun-jul-aug-nov-2021/BDGDimage_arenaB_visualCues_cropped.png
# Hole visualizaton = arena_picture\jun-jul-aug-nov-2021/BDGDimage_arenaB_visualCues_holes.png
#        - cropped image extent (cm) = [-104.53429718875502, 89.65044176706826, -70.64978494623655, 75.54376344086022]
#        - arena center (cm) = [-0.7668273092369589, 1.8378494623655826]
#        - arena radius (cm) = 60.19037116
#       indices ::: (a) below -4 == targets;    (b) [-4,...,-1] == entrances;    (c) 1... == holes
# hole index,x (cm),y (cm)
-5,-29.28771084,-3.64440860
-4,38.98036145,46.00048387
-3,-45.97546185,40.82279570
-2,43.53156627,-38.06080645
-1,-39.90718876,-43.54306452
1,-6.53168675,56.96500000
2,5.90827309,56.66043011
3,-20.79212851,52.39645161
4,23.80967871,51.78731183
5,-11.38630522,49.35075269
6,-32.32184739,47.52333333
7,32.30526104,47.52333333
8,3.17755020,46.91419355
9,14.70726908,45.39134409
10,-22.91602410,43.25935484
11,-4.10437751,40.82279570
12,-33.53550201,40.51822581
13,-14.11702811,39.29994624
14,29.57453815,38.69080645
15,16.52775100,36.86338710
16,3.48096386,35.34053763
17,-27.16381526,34.42682796
18,-47.79594378,34.12225806
19,38.67694779,33.51311828
20,45.65546185,32.29483871
21,-38.69353414,31.07655914
22,-15.63409639,30.46741935
23,-5.31803213,29.24913978
24,32.60867470,27.11715054
25,-51.74032129,25.28973118
26,17.74140562,24.68059140
27,-19.88188755,22.85317204
28,7.42534137,22.85317204
29,41.10425703,22.85317204
30,50.20666667,20.72118280
31,21.38236948,19.50290323
32,-24.73650602,19.19833333
33,-36.87305221,17.98005376
34,1.05365462,17.67548387
35,-8.65558233,16.76177419
36,-45.36863454,16.15263441
37,28.66429719,15.54349462
38,37.15987952,14.02064516
39,47.17253012,11.58408602
40,-23.21943775,8.84295699
41,15.31409639,8.53838710
42,-1.07024096,7.92924731
43,-56.29152610,7.32010753
44,54.75787149,6.71096774
45,27.45064257,5.18811828
46,-35.35598394,4.88354839
47,-46.58228916,4.57897849
48,38.98036145,3.96983871
49,-17.75799197,2.44698925
50,6.51510040,0.92413978
51,-8.04875502,0.61956989
52,16.22433735,-1.20784946
53,-40.81742972,-2.42612903
54,44.74522088,-3.03526882
55,33.51891566,-3.33983871
56,-29.28771084,-3.64440860
57,-56.59493976,-5.16725806
58,54.15104418,-5.47182796
59,-0.76682731,-6.69010753
60,-16.84775100,-6.99467742
61,21.38236948,-7.29924731
62,-48.70618474,-10.04037634
63,-38.99694779,-12.78150538
64,-30.50136546,-13.99978495
65,43.53156627,-14.30435484
66,6.81851406,-15.21806452
67,-2.58730924,-16.13177419
68,35.03598394,-16.13177419
69,22.89943775,-17.65462366
70,-22.91602410,-18.26376344
71,-51.74032129,-19.48204301
72,-42.63791165,-21.30946237
73,18.04481928,-21.30946237
74,-8.95899598,-21.30946237
75,-18.97164659,-23.13688172
76,49.59983936,-23.13688172
77,-33.83891566,-25.57344086
78,3.48096386,-27.40086022
79,13.79702811,-28.61913978
80,36.55305221,-28.61913978
81,-46.88570281,-30.44655914
82,45.35204819,-31.66483871
83,-39.90718876,-31.66483871
84,25.32674699,-32.27397849
85,-5.01461847,-33.49225806
86,-17.75799197,-35.31967742
87,-30.50136546,-36.53795699
88,12.58337349,-37.14709677
89,31.69843373,-38.06080645
90,2.57072289,-38.66994624
91,21.38236948,-40.49736559
92,-15.93751004,-43.23849462
93,-4.40779116,-44.45677419
94,30.48477912,-44.76134409
95,-33.23208835,-45.37048387
96,9.85265060,-46.58876344
97,-24.73650602,-49.32989247
98,19.25847390,-49.32989247
99,-6.83510040,-53.59387097
100,5.30144578,-53.89844086
