# Hole coordinates for file arena_picture\jun-jul-aug-nov-2021/BKGDimage-Nov15.png
# Cropped file = arena_picture\jun-jul-aug-nov-2021/BKGDimage-Nov15_cropped.png
# Hole visualizaton = arena_picture\jun-jul-aug-nov-2021/BKGDimage-Nov15_holes.png
#        - cropped image extent (cm) = [-102.10698795180723, 92.07775100401605, -72.47720430107525, 73.71634408602151]
#        - arena center (cm) = [1.6604819277108334, 0.010430107526872234]
#        - arena radius (cm) = 60.19037116
#       indices ::: (a) below -4 == targets;    (b) [-4,...,-1] == entrances;    (c) 1... == holes
# hole index,x (cm),y (cm)
-5,28.96771084,3.05612903
-4,-40.51401606,42.34564516
-3,43.53156627,42.34564516
-2,-41.72767068,-40.80193548
-1,41.10425703,-43.84763441
1,-1.98048193,56.05129032
2,10.15606426,54.83301075
3,-16.24092369,51.78731183
4,28.05746988,49.35075269
5,-7.13851406,48.43704301
6,-27.46722892,47.82790323
7,7.12192771,45.69591398
8,36.55305221,45.08677419
9,18.65164659,43.86849462
10,-18.97164659,43.25935484
11,-29.28771084,40.82279570
12,-0.46341365,40.21365591
13,-10.77947791,38.99537634
14,32.91208835,36.25424731
15,-43.24473896,35.34053763
16,19.86530120,35.34053763
17,-23.82626506,34.73139785
18,6.51510040,34.12225806
19,-34.74915663,31.99026882
20,42.31791165,30.77198925
21,-12.59995984,30.46741935
22,-2.58730924,28.64000000
23,49.29642570,28.94456989
24,-47.79594378,26.81258065
25,35.64281124,24.68059140
26,-17.15116466,23.15774194
27,20.16871486,23.15774194
28,9.85265060,21.93946237
29,-22.30919679,19.80747312
30,44.13839357,19.80747312
31,-34.14232932,19.19833333
32,-42.33449799,17.98005376
33,23.50626506,17.67548387
34,2.87413655,17.06634409
35,53.24080321,17.06634409
36,-6.53168675,16.45720430
37,30.78819277,13.10693548
38,39.58718876,11.27951613
39,-53.25738956,9.45209677
40,-21.39895582,9.75666667
41,49.59983936,7.92924731
42,0.44682731,7.62467742
43,16.83116466,7.01553763
44,-44.15497992,6.71096774
45,-33.23208835,6.40639785
46,-16.54433735,2.75155914
47,28.96771084,2.75155914
48,57.18518072,2.44698925
49,40.80084337,0.92413978
50,-7.13851406,0.31500000
51,7.42534137,0.01043011
52,-38.99694779,-0.59870968
53,-54.47104418,-2.42612903
54,-28.07405622,-2.42612903
55,17.13457831,-2.73069892
56,34.73257028,-6.08096774
57,-16.24092369,-6.69010753
58,46.26228916,-6.69010753
59,-0.16000000,-7.29924731
60,-47.49253012,-7.60381720
61,21.98919679,-9.43123656
62,55.97152610,-9.73580645
63,-38.08670683,-10.95408602
64,-29.89453815,-12.78150538
65,6.81851406,-16.43634409
66,-50.52666667,-16.43634409
67,-2.58730924,-16.74091398
68,-22.91602410,-17.35005376
69,44.13839357,-18.26376344
70,-42.33449799,-19.17747312
71,35.64281124,-19.48204301
72,23.20285141,-19.78661290
73,-9.26240964,-21.61403226
74,-19.27506024,-22.52774194
75,17.74140562,-23.13688172
76,-34.14232932,-24.05059140
77,50.20666667,-27.70543011
78,-46.88570281,-28.01000000
79,2.87413655,-28.61913978
80,-40.21060241,-29.83741935
81,13.19020080,-30.44655914
82,36.55305221,-32.27397849
83,-5.92485944,-34.10139785
84,-18.97164659,-34.71053763
85,24.71991968,-35.01510753
86,-31.41160643,-35.31967742
87,45.35204819,-35.92881720
88,11.36971888,-38.97451613
89,1.05365462,-39.88822581
90,30.78819277,-41.41107527
91,-17.45457831,-43.23849462
92,19.86530120,-43.23849462
93,-34.74915663,-44.15220430
94,-6.22827309,-45.06591398
95,8.03216867,-48.72075269
96,29.27112450,-48.41618280
97,-26.55698795,-48.72075269
98,17.43799197,-52.37559140
99,-9.26240964,-54.50758065
100,2.87413655,-56.03043011
