# Hole coordinates for file arena_picture\jun-jul-aug-nov-2021/BKGDimage-arenaB.png
# Cropped file = arena_picture\jun-jul-aug-nov-2021/BKGDimage-arenaB_cropped.png
# Hole visualizaton = arena_picture\jun-jul-aug-nov-2021/BKGDimage-arenaB_holes.png
#        - cropped image extent (cm) = [-105.14112449799197, 89.0436144578313, -71.25892473118277, 74.93462365591398]
#        - arena center (cm) = [-1.3736546184738927, 1.2287096774193458]
#        - arena radius (cm) = 60.79835471
#       indices ::: (a) below -4 == targets;    (b) [-4,...,-1] == entrances;    (c) 1... == holes
# hole index,x (cm),y (cm)
-6,21.38236948,19.19833333
-5,-38.99694779,-12.47693548
-4,38.98036145,46.00048387
-3,-46.58228916,40.82279570
-2,43.53156627,-38.66994624
-1,-40.21060241,-43.84763441
1,-5.92485944,56.96500000
2,6.21168675,56.35586022
3,-20.48871486,52.39645161
4,24.11309237,51.17817204
5,-11.08289157,49.04618280
6,-31.71502008,47.82790323
7,32.91208835,47.21876344
8,3.48096386,46.30505376
9,15.31409639,45.39134409
10,-22.61261044,43.25935484
11,-33.23208835,40.51822581
12,-3.80096386,40.82279570
13,-13.81361446,38.99537634
14,29.57453815,38.08166667
15,16.83116466,36.55881720
16,3.78437751,35.34053763
17,-26.86040161,34.42682796
18,-47.49253012,34.12225806
19,38.98036145,32.90397849
20,45.95887550,31.68569892
21,-38.39012048,31.07655914
22,-15.33068273,30.46741935
23,-5.01461847,29.24913978
24,32.91208835,26.81258065
25,-51.74032129,25.59430108
26,18.04481928,24.37602151
27,-19.57847390,23.15774194
28,7.72875502,22.85317204
29,41.40767068,22.54860215
30,50.51008032,20.41661290
31,-24.43309237,19.19833333
32,21.68578313,19.50290323
33,-36.87305221,18.28462366
34,1.05365462,17.67548387
35,-45.36863454,16.45720430
36,-8.35216867,16.45720430
37,28.96771084,15.23892473
38,37.46329317,13.71607527
39,47.17253012,10.97494624
40,-22.91602410,8.84295699
41,15.31409639,8.23381720
42,-1.07024096,7.92924731
43,-55.98811245,7.62467742
44,54.75787149,6.10182796
45,-35.05257028,5.18811828
46,-46.27887550,4.88354839
47,27.75405622,4.88354839
48,38.98036145,3.66526882
49,-17.75799197,2.44698925
50,6.51510040,0.61956989
51,-8.04875502,0.61956989
52,16.22433735,-1.20784946
53,-40.51401606,-2.42612903
54,44.44180723,-3.33983871
55,-29.28771084,-3.64440860
56,33.51891566,-3.64440860
57,-56.59493976,-4.86268817
58,54.45445783,-5.77639785
59,-0.46341365,-6.69010753
60,-16.54433735,-6.99467742
61,21.38236948,-7.90838710
62,-48.70618474,-9.73580645
63,-38.99694779,-12.47693548
64,-30.50136546,-13.99978495
65,43.53156627,-14.60892473
66,6.81851406,-15.21806452
67,-2.58730924,-16.43634409
68,35.03598394,-16.43634409
69,22.89943775,-17.65462366
70,-22.91602410,-18.26376344
71,-51.74032129,-18.87290323
72,-42.63791165,-21.00489247
73,-8.95899598,-21.30946237
74,18.04481928,-21.30946237
75,-19.27506024,-23.13688172
76,49.59983936,-23.44145161
77,-34.14232932,-25.57344086
78,3.48096386,-27.70543011
79,13.79702811,-28.61913978
80,36.24963855,-29.22827957
81,-46.88570281,-30.14198925
82,-39.90718876,-31.66483871
83,45.35204819,-32.27397849
84,25.32674699,-32.27397849
85,-5.01461847,-33.49225806
86,-18.06140562,-35.01510753
87,-30.50136546,-36.53795699
88,12.58337349,-37.14709677
89,31.39502008,-38.36537634
90,2.26730924,-38.97451613
91,21.07895582,-40.80193548
92,-16.24092369,-43.23849462
93,-4.71120482,-44.45677419
94,30.18136546,-45.06591398
95,-33.53550201,-45.37048387
96,9.85265060,-46.58876344
97,-25.03991968,-49.32989247
98,18.95506024,-49.63446237
99,-7.13851406,-53.89844086
100,4.99803213,-54.20301075
