# Hole coordinates for file arena_picture\jun-jul-aug-nov-2021/BKGDimage_3LocalCues_Reverse.png
# Cropped file = arena_picture\jun-jul-aug-nov-2021/BKGDimage_3LocalCues_Reverse_cropped.png
# Hole visualizaton = arena_picture\jun-jul-aug-nov-2021/BKGDimage_3LocalCues_Reverse_holes.png
#        - cropped image extent (cm) = [-105.74795180722892, 88.43678714859436, -70.34521505376343, 75.84833333333334]
#        - arena center (cm) = [-1.07024096385544, 0.9241397849462345]
#        - arena radius (cm) = 60.49436294
# hole index,x (cm),y (cm)
-4,38.07012048,44.47763441
-3,-44.45839357,40.21365591
-2,41.40767068,-38.36537634
-1,-39.60377510,-42.32478495
1,-5.92485944,56.96500000
2,6.51510040,56.05129032
3,-20.18530120,52.39645161
4,24.41650602,51.17817204
5,-10.77947791,49.04618280
6,-31.71502008,47.82790323
7,32.91208835,46.91419355
8,3.78437751,46.30505376
9,15.31409639,45.08677419
10,-22.61261044,43.25935484
11,-33.23208835,40.82279570
12,-3.80096386,40.82279570
13,-13.81361446,38.99537634
14,29.87795181,37.77709677
15,16.83116466,36.55881720
16,3.78437751,35.03596774
17,-47.49253012,34.73139785
18,-26.86040161,34.42682796
19,38.98036145,32.90397849
20,-38.39012048,31.38112903
21,45.95887550,31.38112903
22,-15.33068273,30.46741935
23,-5.01461847,29.24913978
24,32.91208835,26.20344086
25,-51.43690763,25.89887097
26,17.74140562,24.37602151
27,7.72875502,22.54860215
28,41.40767068,21.93946237
29,50.51008032,19.80747312
30,21.38236948,19.19833333
31,-36.87305221,18.28462366
32,1.05365462,17.37091398
33,-45.36863454,16.76177419
34,-8.65558233,16.76177419
35,28.96771084,14.62978495
36,47.17253012,10.36580645
37,-23.21943775,9.14752688
38,-1.07024096,7.92924731
39,15.01068273,8.23381720
40,-56.29152610,7.92924731
41,54.45445783,5.79725806
42,-35.35598394,5.18811828
43,-46.58228916,4.88354839
44,27.45064257,4.57897849
45,-18.06140562,2.44698925
46,-8.35216867,0.31500000
47,6.21168675,0.61956989
48,15.92092369,-1.51241935
49,-41.12084337,-2.12155914
50,-29.59112450,-3.33983871
51,44.44180723,-3.94897849
52,-56.89835341,-4.25354839
53,53.84763052,-6.38553763
54,-1.07024096,-6.99467742
55,-17.15116466,-6.99467742
56,21.07895582,-8.21295699
57,-49.00959839,-9.43123656
58,-39.30036145,-12.17236559
59,-30.80477912,-13.69521505
60,6.51510040,-15.52263441
61,42.92473896,-15.21806452
62,-2.89072289,-16.43634409
63,34.42915663,-17.04548387
64,22.59602410,-18.26376344
65,-52.34714859,-18.56833333
66,-43.24473896,-20.70032258
67,-9.56582329,-21.61403226
68,17.43799197,-21.91860215
69,48.99301205,-24.05059140
70,-34.74915663,-25.26887097
71,2.87413655,-27.70543011
72,13.19020080,-28.92370968
73,35.94622490,-29.53284946
74,-47.49253012,-30.14198925
75,-40.51401606,-31.36026882
76,24.71991968,-32.88311828
77,44.74522088,-32.57854839
78,-5.62144578,-33.49225806
79,-18.66823293,-35.01510753
80,-31.10819277,-36.53795699
81,11.67313253,-37.45166667
82,1.66048193,-38.97451613
83,30.78819277,-38.66994624
84,20.16871486,-41.10650538
85,-16.84775100,-43.23849462
86,-5.31803213,-44.45677419
87,-34.44574297,-45.06591398
88,29.27112450,-45.37048387
89,8.94240964,-46.89333333
90,-25.64674699,-49.32989247
91,18.04481928,-49.93903226
92,-8.04875502,-53.89844086
93,4.08779116,-54.20301075
