# Hole coordinates for file arena_picture\jun-jul-aug-nov-2021/BKGDimage_3LocalCues.png
# Cropped file = arena_picture\jun-jul-aug-nov-2021/BKGDimage_3LocalCues_cropped.png
# Hole visualizaton = arena_picture\jun-jul-aug-nov-2021/BKGDimage_3LocalCues_holes.png
#        - cropped image extent (cm) = [-105.74795180722892, 88.43678714859436, -70.04064516129033, 76.15290322580645]
#        - arena center (cm) = [-1.07024096385544, 1.2287096774193458]
#        - arena radius (cm) = 60.49436294
# hole index,x (cm),y (cm)
-4,37.76670683,45.08677419
-3,-45.36863454,39.60451613
-2,42.01449799,-37.75623656
-1,-38.99694779,-42.93392473
1,-6.22827309,56.96500000
2,5.90827309,56.35586022
3,-20.79212851,52.39645161
4,24.11309237,51.48274194
5,-11.38630522,49.35075269
6,-32.01843373,47.82790323
7,32.60867470,47.52333333
8,3.17755020,46.60962366
9,15.01068273,45.39134409
10,-22.91602410,43.25935484
11,-3.80096386,40.82279570
12,-33.53550201,40.82279570
13,-14.11702811,39.29994624
14,29.57453815,38.08166667
15,16.52775100,36.86338710
16,3.48096386,35.34053763
17,-47.49253012,34.42682796
18,-27.16381526,34.73139785
19,38.67694779,33.20854839
20,45.65546185,31.99026882
21,-38.39012048,31.38112903
22,-15.63409639,30.46741935
23,-5.31803213,29.24913978
24,32.60867470,26.81258065
25,-51.74032129,25.59430108
26,-19.88188755,23.15774194
27,7.42534137,22.85317204
28,41.10425703,22.54860215
29,50.20666667,20.41661290
30,-24.73650602,19.19833333
31,-37.17646586,18.28462366
32,0.75024096,17.67548387
33,-8.65558233,16.76177419
34,-45.36863454,16.45720430
35,28.66429719,15.23892473
36,37.15987952,14.02064516
37,46.86911647,11.27951613
38,-23.21943775,9.14752688
39,15.01068273,8.23381720
40,-1.07024096,7.92924731
41,-56.29152610,7.62467742
42,54.45445783,6.40639785
43,-46.58228916,4.88354839
44,27.45064257,4.88354839
45,38.98036145,3.66526882
46,-18.06140562,2.75155914
47,6.21168675,0.92413978
48,-8.35216867,0.31500000
49,15.92092369,-1.20784946
50,44.44180723,-3.33983871
51,-29.59112450,-3.33983871
52,33.21550201,-3.64440860
53,-56.59493976,-4.55811828
54,53.84763052,-5.77639785
55,-0.76682731,-6.69010753
56,-17.15116466,-6.99467742
57,21.07895582,-7.60381720
58,-49.00959839,-9.73580645
59,-30.50136546,-13.69521505
60,43.22815261,-14.91349462
61,6.51510040,-15.21806452
62,-2.89072289,-16.13177419
63,34.73257028,-16.43634409
64,-23.21943775,-17.95919355
65,-52.04373494,-18.87290323
66,-42.94132530,-21.00489247
67,-9.26240964,-21.30946237
68,-19.27506024,-23.13688172
69,49.29642570,-23.44145161
70,-34.44574297,-25.26887097
71,3.17755020,-27.40086022
72,13.49361446,-28.92370968
73,36.24963855,-29.22827957
74,-47.18911647,-30.14198925
75,-40.21060241,-31.66483871
76,45.04863454,-31.96940860
77,25.02333333,-32.57854839
78,-5.31803213,-33.49225806
79,-18.36481928,-35.01510753
80,-31.10819277,-36.53795699
81,11.97654618,-37.14709677
82,31.09160643,-38.06080645
83,1.96389558,-38.66994624
84,20.77554217,-40.80193548
85,-16.54433735,-43.23849462
86,-5.01461847,-44.45677419
87,-33.83891566,-45.37048387
88,29.87795181,-45.06591398
89,9.24582329,-46.58876344
90,-25.34333333,-49.32989247
91,18.65164659,-49.63446237
92,-7.44192771,-53.59387097
93,4.69461847,-54.20301075
