# Hole coordinates for file arena_picture\jun-jul-aug-nov-2021/BKGDimage_asymmRev.png
# Cropped file = arena_picture\jun-jul-aug-nov-2021/BKGDimage_asymmRev_cropped.png
# Hole visualizaton = arena_picture\jun-jul-aug-nov-2021/BKGDimage_asymmRev_holes.png
#        - cropped image extent (cm) = [-101.50016064257028, 92.68457831325298, -68.82236559139785, 77.37118279569893]
#        - arena center (cm) = [3.1775502008032106, 2.4469892473118193]
#        - arena radius (cm) = 60.19037116
# hole index,x (cm),y (cm)
-4,42.01449799,47.21876344
-3,-40.81742972,42.04107527
-2,45.95887550,-38.06080645
-1,-37.78329317,-40.49736559
1,-4.10437751,58.18327957
2,8.03216867,57.87870968
3,26.23698795,53.61473118
4,-18.06140562,53.00559140
5,-8.95899598,50.26446237
6,35.03598394,49.65532258
7,-29.28771084,48.13247312
8,5.60485944,48.43704301
9,17.13457831,47.21876344
10,-20.18530120,44.17306452
11,-1.67706827,42.65021505
12,-30.50136546,41.43193548
13,32.00184739,40.82279570
14,-11.68971888,40.51822581
15,18.95506024,38.99537634
16,5.90827309,37.16795699
17,41.40767068,35.94967742
18,-24.43309237,35.64510753
19,-44.15497992,34.73139785
20,48.68959839,34.73139785
21,-12.90337349,31.99026882
22,-35.35598394,31.99026882
23,-2.89072289,31.07655914
24,35.33939759,29.55370968
25,-48.09935743,26.20344086
26,44.13839357,25.28973118
27,9.85265060,25.28973118
28,-17.15116466,24.68059140
29,53.54421687,23.15774194
30,-22.00578313,20.72118280
31,3.48096386,19.80747312
32,-33.83891566,19.19833333
33,-5.92485944,18.58919355
34,31.69843373,17.67548387
35,-42.03108434,17.37091398
36,40.19401606,16.45720430
37,50.51008032,13.71607527
38,-20.18530120,10.67037634
39,18.04481928,10.67037634
40,1.66048193,10.06123656
41,58.39883534,8.84295699
42,-52.65056225,8.23381720
43,30.48477912,7.32010753
44,-32.32184739,6.40639785
45,42.01449799,6.40639785
46,-43.24473896,5.79725806
47,-15.02726908,4.27440860
48,9.24582329,3.05612903
49,-5.62144578,2.44698925
50,18.95506024,1.22870968
51,-37.47987952,-0.90327957
52,48.08277108,-0.59870968
53,36.55305221,-1.20784946
54,-26.25357430,-2.12155914
55,58.09542169,-3.33983871
56,-52.95397590,-3.94897849
57,1.96389558,-4.55811828
58,-14.11702811,-5.16725806
59,24.41650602,-5.47182796
60,-45.36863454,-8.51752688
61,-35.65939759,-11.25865591
62,-27.16381526,-12.17236559
63,47.17253012,-12.47693548
64,9.85265060,-13.39064516
65,0.14341365,-14.30435484
66,38.37353414,-14.30435484
67,-19.88188755,-16.43634409
68,-48.09935743,-17.95919355
69,-39.30036145,-19.78661290
70,-6.22827309,-19.48204301
71,-16.24092369,-21.30946237
72,53.54421687,-21.61403226
73,-30.80477912,-24.05059140
74,6.51510040,-25.57344086
75,16.83116466,-26.79172043
76,40.19401606,-27.40086022
77,-43.54815261,-28.92370968
78,-36.56963855,-30.44655914
79,49.59983936,-30.44655914
80,28.66429719,-30.75112903
81,-1.98048193,-31.66483871
82,-14.72385542,-33.49225806
83,-27.46722892,-35.01510753
84,15.92092369,-35.62424731
85,35.33939759,-36.84252688
86,5.60485944,-37.45166667
87,24.71991968,-39.58365591
88,-12.90337349,-42.02021505
89,-1.37365462,-43.23849462
90,34.12574297,-43.84763441
91,-30.19795181,-44.15220430
92,13.19020080,-45.37048387
93,-21.70236948,-48.11161290
94,22.59602410,-48.41618280
95,-3.80096386,-52.68016129
96,8.33558233,-52.98473118
