# Hole coordinates for file arena_picture\jun-jul-aug-nov-2021/BKGDimage_asymm.png
# Cropped file = arena_picture\jun-jul-aug-nov-2021/BKGDimage_asymm_cropped.png
# Hole visualizaton = arena_picture\jun-jul-aug-nov-2021/BKGDimage_asymm_holes.png
#        - cropped image extent (cm) = [-101.80357429718876, 92.38116465863453, -68.82236559139785, 77.37118279569893]
#        - arena center (cm) = [2.8741365461847295, 2.4469892473118193]
#        - arena radius (cm) = 60.19037116
# hole index,x (cm),y (cm)
-4,41.71108434,46.60962366
-3,-40.81742972,41.43193548
-2,45.35204819,-37.75623656
-1,-36.87305221,-39.88822581
1,-3.49755020,58.18327957
2,8.63899598,57.87870968
3,26.54040161,53.61473118
4,-17.75799197,53.31016129
5,-8.35216867,50.56903226
6,35.33939759,49.65532258
7,-28.68088353,48.43704301
8,5.90827309,48.43704301
9,17.43799197,47.52333333
10,-19.88188755,44.47763441
11,-1.37365462,42.65021505
12,-30.19795181,41.73650538
13,-11.38630522,40.82279570
14,32.30526104,40.51822581
15,19.25847390,38.99537634
16,6.21168675,37.16795699
17,-24.12967871,35.94967742
18,41.71108434,35.94967742
19,-43.85156627,35.03596774
20,48.99301205,34.42682796
21,-35.05257028,32.29483871
22,-12.59995984,32.29483871
23,-2.58730924,31.38112903
24,35.64281124,29.24913978
25,20.47212851,26.81258065
26,-47.79594378,26.50801075
27,10.15606426,25.28973118
28,44.44180723,25.28973118
29,53.84763052,23.15774194
30,24.11309237,21.93946237
31,3.78437751,19.80747312
32,-33.53550201,19.80747312
33,-5.92485944,18.89376344
34,-41.72767068,17.98005376
35,31.69843373,17.67548387
36,40.49742972,16.45720430
37,50.51008032,13.71607527
38,-20.18530120,10.97494624
39,18.04481928,10.67037634
40,1.66048193,10.36580645
41,-52.34714859,8.84295699
42,58.70224900,8.84295699
43,30.78819277,7.32010753
44,-32.01843373,6.71096774
45,-42.94132530,6.40639785
46,42.31791165,6.10182796
47,-15.02726908,4.57897849
48,9.24582329,3.05612903
49,-5.31803213,2.75155914
50,18.95506024,1.22870968
51,-37.47987952,-0.59870968
52,48.38618474,-0.90327957
53,36.55305221,-1.20784946
54,-26.25357430,-1.81698925
55,-52.65056225,-3.33983871
56,58.39883534,-3.64440860
57,2.26730924,-4.55811828
58,-13.81361446,-5.16725806
59,24.41650602,-5.47182796
60,-45.36863454,-7.90838710
61,-35.65939759,-10.64951613
62,-27.16381526,-11.86779570
63,47.17253012,-12.78150538
64,9.85265060,-13.08607527
65,0.14341365,-13.99978495
66,38.67694779,-14.60892473
67,25.93357430,-15.52263441
68,-48.09935743,-17.35005376
69,-39.30036145,-19.48204301
70,-6.22827309,-19.48204301
71,21.07895582,-19.48204301
72,53.84763052,-21.91860215
73,-30.80477912,-23.44145161
74,6.51510040,-25.57344086
75,16.83116466,-26.79172043
76,40.19401606,-27.40086022
77,-43.54815261,-28.61913978
78,-36.87305221,-29.83741935
79,49.59983936,-30.75112903
80,28.66429719,-30.75112903
81,-1.98048193,-31.66483871
82,-15.02726908,-33.18768817
83,-27.46722892,-35.01510753
84,15.61751004,-35.62424731
85,35.33939759,-37.14709677
86,5.60485944,-37.14709677
87,24.41650602,-39.58365591
88,-13.20678715,-41.71564516
89,-1.67706827,-42.93392473
90,-30.19795181,-43.84763441
91,33.82232932,-44.15220430
92,12.88678715,-45.37048387
93,-21.70236948,-48.11161290
94,22.59602410,-48.72075269
95,-3.80096386,-52.68016129
96,8.03216867,-52.98473118
