# Hole coordinates for file arena_picture\mar-may-2021/BKGDimage-localCues_LetterTex.png
# Cropped file = arena_picture\mar-may-2021/BKGDimage-localCues_LetterTex_cropped.png
# Hole visualizaton = arena_picture\mar-may-2021/BKGDimage-localCues_LetterTex_holes.png
#        - cropped image extent (cm) = [-101.62049295774648, 92.49781690140844, -69.30133333333335, 76.93866666666666]
#        - arena center (cm) = [3.0214084507042287, 1.9906666666666553]
#        - arena radius (cm) = 60.18967606
# hole index,x (cm),y (cm)
-4,41.23845070,45.55800000
-3,-39.74528169,41.29266667
-2,44.57485915,-37.92066667
-1,-36.40887324,-40.05333333
1,-3.95471831,57.74466667
2,8.17767606,57.44000000
3,26.07295775,53.47933333
4,-17.90697183,52.87000000
5,-8.80767606,50.12800000
6,34.86894366,49.51866667
7,-29.12943662,47.99533333
8,5.75119718,47.99533333
9,17.27697183,47.08133333
10,-20.03014085,44.03466667
11,-1.52823944,42.20666667
12,-30.34267606,40.98800000
13,31.83584507,40.37866667
14,-11.53746479,40.37866667
15,19.09683099,38.85533333
16,6.05450704,37.02733333
17,41.54176056,35.80866667
18,-23.97316901,35.50400000
19,-43.99161972,34.59000000
20,48.51788732,34.28533333
21,-12.75070423,31.84800000
22,-35.19563380,31.84800000
23,-2.74147887,30.93400000
24,35.47556338,29.10600000
25,20.31007042,26.66866667
26,-47.93464789,26.05933333
27,9.99753521,25.14533333
28,44.27154930,25.14533333
29,53.37084507,23.01266667
30,24.25309859,21.79400000
31,3.62802817,19.66133333
32,-33.67908451,19.35666667
33,-5.77457746,18.44266667
34,31.53253521,17.52866667
35,-41.86845070,17.22400000
36,40.32852113,16.31000000
37,50.33774648,13.87266667
38,-20.03014085,10.52133333
39,17.88359155,10.82600000
40,1.80816901,9.91200000
41,58.22380282,8.99800000
42,-52.18098592,8.38866667
43,30.62260563,7.47466667
44,-31.85922535,6.56066667
45,42.14838028,6.25600000
46,-43.08169014,5.95133333
47,-14.87387324,4.12333333
48,9.39091549,2.90466667
49,-5.47126761,2.60000000
50,19.09683099,1.07666667
51,-37.31880282,-1.05600000
52,48.21457746,-0.75133333
53,36.68880282,-1.36066667
54,-26.09633803,-1.97000000
55,57.92049296,-3.18866667
56,-52.48429577,-3.79800000
57,2.11147887,-4.40733333
58,-13.96394366,-5.01666667
59,24.25309859,-5.32133333
60,-45.20485915,-8.36800000
61,-35.49894366,-11.11000000
62,-27.00626761,-12.02400000
63,47.00133803,-12.32866667
64,9.99753521,-13.24266667
65,0.29161972,-14.15666667
66,38.50866197,-14.46133333
67,-20.03014085,-16.28933333
68,-47.93464789,-17.50800000
69,-39.13866197,-19.64066667
70,-6.07788732,-19.33600000
71,-16.08711268,-21.16400000
72,53.67415493,-21.46866667
73,-30.64598592,-23.90600000
74,6.66112676,-25.73400000
75,16.97366197,-26.64800000
76,40.32852113,-27.25733333
77,-43.38500000,-28.78066667
78,-36.40887324,-30.30400000
79,49.42781690,-30.30400000
80,28.80274648,-30.60866667
81,-1.83154930,-31.52266667
82,-14.57056338,-33.35066667
83,-27.30957746,-34.87400000
84,15.76042254,-35.48333333
85,35.47556338,-36.70200000
86,5.75119718,-37.00666667
87,24.55640845,-39.13933333
88,-12.75070423,-41.88133333
89,-1.22492958,-42.79533333
90,33.95901408,-43.70933333
91,-30.03936620,-44.01400000
92,13.33394366,-45.23266667
93,-21.54669014,-47.97466667
94,22.73654930,-48.27933333
95,-3.65140845,-52.54466667
96,8.48098592,-52.84933333
