# Hole coordinates for file arena_picture\mar-may-2021/BKGDimage-localCues_Letter.png
# Cropped file = arena_picture\mar-may-2021/BKGDimage-localCues_Letter_cropped.png
# Hole visualizaton = arena_picture\mar-may-2021/BKGDimage-localCues_Letter_holes.png
#        - cropped image extent (cm) = [-101.62049295774648, 92.49781690140844, -68.69200000000002, 77.548]
#        - arena center (cm) = [3.0214084507042287, 2.5999999999999943]
#        - arena radius (cm) = 60.18967606
# hole index,x (cm),y (cm)
-4,41.84507042,45.55800000
-3,-40.04859155,41.90200000
-2,45.18147887,-37.31133333
-1,-36.40887324,-40.05333333
1,-3.65140845,57.74466667
2,8.48098592,57.44000000
3,26.37626761,53.47933333
4,-17.60366197,52.87000000
5,-8.50436620,50.12800000
6,35.17225352,49.51866667
7,-28.82612676,47.99533333
8,5.75119718,47.99533333
9,17.58028169,47.08133333
10,-19.72683099,44.03466667
11,-1.22492958,42.20666667
12,-30.03936620,41.29266667
13,-11.23415493,40.37866667
14,32.13915493,40.37866667
15,19.09683099,38.85533333
16,6.05450704,37.02733333
17,41.54176056,35.50400000
18,-23.97316901,35.50400000
19,-43.68830986,34.59000000
20,48.82119718,34.28533333
21,-34.89232394,31.84800000
22,-12.44739437,31.84800000
23,-2.43816901,30.93400000
24,35.47556338,29.10600000
25,20.31007042,26.66866667
26,-47.63133803,26.05933333
27,10.30084507,24.84066667
28,44.27154930,25.14533333
29,53.67415493,23.01266667
30,24.25309859,21.79400000
31,3.62802817,19.66133333
32,-33.37577465,19.35666667
33,-5.77457746,18.44266667
34,-41.86845070,17.52866667
35,31.83584507,17.52866667
36,40.32852113,16.31000000
37,50.64105634,13.56800000
38,-20.03014085,10.82600000
39,18.18690141,10.52133333
40,1.80816901,9.91200000
41,58.52711268,8.69333333
42,-52.18098592,8.38866667
43,30.62260563,7.47466667
44,-31.85922535,6.56066667
45,-42.77838028,5.95133333
46,42.45169014,6.25600000
47,-14.87387324,4.42800000
48,9.39091549,2.90466667
49,-5.47126761,2.60000000
50,19.09683099,1.07666667
51,-37.31880282,-0.75133333
52,48.21457746,-1.05600000
53,36.68880282,-1.36066667
54,-26.09633803,-1.97000000
55,58.22380282,-3.49333333
56,-52.48429577,-3.49333333
57,2.41478873,-4.71200000
58,-13.66063380,-5.01666667
59,24.25309859,-5.32133333
60,-44.90154930,-8.36800000
61,-35.49894366,-10.80533333
62,-27.00626761,-12.02400000
63,47.30464789,-12.63333333
64,9.99753521,-13.24266667
65,0.29161972,-14.15666667
66,38.50866197,-14.46133333
67,-19.72683099,-16.28933333
68,-47.93464789,-17.50800000
69,-39.13866197,-19.33600000
70,-6.07788732,-19.33600000
71,-16.08711268,-21.16400000
72,53.67415493,-21.77333333
73,-30.64598592,-23.60133333
74,6.66112676,-25.73400000
75,16.97366197,-26.64800000
76,40.32852113,-27.25733333
77,-43.38500000,-28.47600000
78,-36.40887324,-29.99933333
79,49.42781690,-30.30400000
80,28.80274648,-30.60866667
81,-1.83154930,-31.52266667
82,-14.57056338,-33.35066667
83,-27.30957746,-34.87400000
84,15.76042254,-35.48333333
85,35.47556338,-36.70200000
86,5.75119718,-37.00666667
87,24.55640845,-39.13933333
88,-12.75070423,-41.88133333
89,-1.22492958,-42.79533333
90,-30.03936620,-44.01400000
91,33.95901408,-43.70933333
92,13.33394366,-45.23266667
93,-21.54669014,-47.97466667
94,22.73654930,-48.27933333
95,-3.65140845,-52.54466667
96,8.48098592,-52.84933333
