# Hole coordinates for file arena_picture\mar-may-2021/BKGDimage-localCues_clear.png
# Cropped file = arena_picture\mar-may-2021/BKGDimage-localCues_clear_cropped.png
# Hole visualizaton = arena_picture\mar-may-2021/BKGDimage-localCues_clear_holes.png
#        - cropped image extent (cm) = [-101.31718309859156, 92.80112676056339, -70.21533333333336, 76.02466666666666]
#        - arena center (cm) = [3.3247183098591506, 1.0766666666666538]
#        - arena radius (cm) = 60.18967606
# hole index,x (cm),y (cm)
-4,41.84507042,45.25333333
-3,-40.35190141,40.37866667
-2,45.78809859,-38.53000000
-1,-36.71218310,-41.27200000
1,-3.65140845,56.83066667
2,8.48098592,56.52600000
3,-17.60366197,51.95600000
4,26.67957746,52.26066667
5,-8.50436620,49.21400000
6,35.17225352,48.30000000
7,-28.82612676,47.38600000
8,6.05450704,47.08133333
9,17.58028169,46.16733333
10,-19.72683099,43.12066667
11,-1.22492958,41.29266667
12,-30.03936620,40.37866667
13,-11.23415493,39.46466667
14,32.44246479,39.46466667
15,19.40014085,37.94133333
16,6.35781690,36.11333333
17,41.84507042,34.59000000
18,-23.97316901,34.59000000
19,-43.68830986,33.98066667
20,48.82119718,33.37133333
21,-35.19563380,30.93400000
22,-12.44739437,30.93400000
23,-2.43816901,30.02000000
24,35.47556338,28.19200000
25,20.61338028,25.75466667
26,-47.63133803,25.45000000
27,10.30084507,24.23133333
28,44.57485915,23.92666667
29,53.67415493,22.09866667
30,24.25309859,20.88000000
31,3.93133803,18.74733333
32,-33.37577465,18.44266667
33,-5.77457746,17.52866667
34,-41.56514085,16.61466667
35,31.83584507,16.61466667
36,40.63183099,15.39600000
37,50.64105634,12.65400000
38,-20.03014085,9.91200000
39,18.18690141,9.60733333
40,1.80816901,9.30266667
41,58.52711268,8.08400000
42,-52.18098592,7.47466667
43,30.62260563,6.56066667
44,-31.85922535,5.64666667
45,-42.77838028,5.34200000
46,42.45169014,5.34200000
47,-14.87387324,3.51400000
48,9.39091549,1.99066667
49,-5.47126761,1.68600000
50,19.09683099,0.16266667
51,-37.31880282,-1.66533333
52,36.99211268,-2.27466667
53,48.21457746,-1.97000000
54,-26.09633803,-2.57933333
55,-52.48429577,-4.40733333
56,58.22380282,-4.40733333
57,2.41478873,-5.62600000
58,-13.66063380,-6.23533333
59,24.55640845,-6.23533333
60,-45.20485915,-8.97733333
61,-35.49894366,-11.71933333
62,-27.00626761,-12.93800000
63,47.30464789,-13.54733333
64,9.99753521,-14.15666667
65,0.29161972,-15.07066667
66,38.81197183,-15.37533333
67,-19.72683099,-16.89866667
68,-47.93464789,-18.42200000
69,-39.13866197,-20.25000000
70,-6.07788732,-20.25000000
71,-16.08711268,-22.07800000
72,53.67415493,-22.38266667
73,-30.64598592,-24.51533333
74,6.66112676,-26.64800000
75,16.97366197,-27.56200000
76,40.32852113,-28.17133333
77,-43.38500000,-29.39000000
78,-36.40887324,-30.91333333
79,28.80274648,-31.52266667
80,49.73112676,-31.21800000
81,-1.83154930,-32.43666667
82,-14.57056338,-34.26466667
83,-27.30957746,-35.78800000
84,15.76042254,-36.09266667
85,35.47556338,-37.61600000
86,5.75119718,-37.92066667
87,24.55640845,-40.05333333
88,-12.75070423,-42.49066667
89,-1.22492958,-43.70933333
90,-30.03936620,-44.62333333
91,33.95901408,-44.62333333
92,13.33394366,-46.14666667
93,-21.54669014,-48.58400000
94,22.73654930,-49.19333333
95,-3.65140845,-53.15400000
96,8.48098592,-53.76333333
